Component,individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
IndividualAnimalMODEL-ADMetadataTemplate,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4854,5943,,B-283-19,176822,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4858,5947,,B-283-19,176822,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4859,5948,,B-283-19,176822,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4860,5949,,B-283-19,176822,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4867,5956,,B-292-19,176819,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/7/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4882,5971,,B-280-19,176820,UCI_TMF,UCI_TMF,female,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4841,5930,,B-281-19,176823,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4846,5935,,B-282-19,176825,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4850,5939,,B-283-19,176822,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4852,5941,,B-283-19,176822,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4853,5942,,B-283-19,176822,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,4880,5969,,B-280-19,176820,UCI_TMF,UCI_TMF,male,Mouse ,N1,6/5/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC002F1,B6JCC002F1.5XFAD,,
,3180,4065,,B-45-19,147820,UCI_TMF,UCI_TMF,female,Mouse ,N1,2/1/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3188,4073,,B-47-19,147827,UCI_TMF,UCI_TMF,female,Mouse ,N1,2/1/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3189,4074,,B-47-19,147827,UCI_TMF,UCI_TMF,female,Mouse ,N1,2/1/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3205,4090,,B-48-19,147821,UCI_TMF,UCI_TMF,female,Mouse ,N1,2/3/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3206,4091,,B-48-19,147821,UCI_TMF,UCI_TMF,female,Mouse ,N1,2/3/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3196,4081,,B-48-19,147821,UCI_TMF,UCI_TMF,male,Mouse ,N1,2/3/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3195,4080,,B-48-19,147821,UCI_TMF,UCI_TMF,male,Mouse ,N1,2/3/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3194,4079,,B-48-19,147821,UCI_TMF,UCI_TMF,male,Mouse ,N1,2/3/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3202,4087,,B-48-19,147821,UCI_TMF,UCI_TMF,male,Mouse ,N1,2/3/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3200,4085,,B-48-19,147821,UCI_TMF,UCI_TMF,male,Mouse ,N1,2/3/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3176,4061,,B-45-19,147820,UCI_TMF,UCI_TMF,male,Mouse ,N1,2/1/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3131,4016,,B-42-19,147823,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/29/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3132,4017,,B-42-19,147823,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/29/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3156,4041,,B-43-19,147824,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/31/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3157,4042,,B-43-19,147824,UCI_TMF,UCI_TMF,female,Mouse ,N1,1/31/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3166,4051,,B-44-19,147825,UCI_TMF,UCI_TMF,female,Mouse ,N1,2/1/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3167,4052,,B-44-19,147825,UCI_TMF,UCI_TMF,female,Mouse ,N1,2/1/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3127,4012,,B-42-19,147823,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/29/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3128,4013,,B-42-19,147823,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/29/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3129,4014,,B-42-19,147823,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/29/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3130,4015,,B-42-19,147823,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/29/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3144,4029,,B-43-19,147824,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/31/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,3145,4030,,B-43-19,147824,UCI_TMF,UCI_TMF,male,Mouse ,N1,1/31/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC006F1,B6JCC006F1.5XFAD,,
,4038,5093,,B-167-19,163128,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/15/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,4039,5092,,B-167-19,163128,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/15/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,4040,5091,,B-167-19,163128,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/15/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3901,4961,,B-142-19,147976,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/9/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3921,4948,,B-139-19,147981,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/10/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,4034,5097,,B-167-19,163128,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/15/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,4035,5096,,B-167-19,163128,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/15/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3918,4945,,B-139-19,147981,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/10/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3903,4930,,B-138-19,147980,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/10/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3882,4909,,B-141-19,147979,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/9/19,12,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3791,4818,,B-135-19,147868,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/7/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3792,4819,,B-135-19,147868,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/7/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3794,4821,,B-135-19,147868,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/7/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3868,4895,,B-136-19,147982,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/9/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3869,4896,,B-136-19,147982,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/9/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3878,4905,,B-137-19,147983,UCI_TMF,UCI_TMF,female,Mouse ,N1,3/9/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
,3779,4806,,B-134-19,147981,UCI_TMF,UCI_TMF,male,Mouse ,N1,3/6/19,4,months,,,7% standard,,,,,,,5XFAD_carrier,B6JCC013F1,B6JCC013F1.5XFAD,,
