individualID,climbID,microchipID,birthID,matingID,individualIdSource,materialOrigin,sex,species,generation,dateBirth,ageDeath,ageDeathUnits,brainWeight,rodentWeight,rodentDiet,bedding,room,waterpH,treatmentDose,treatmentType,stockNumber,genotype,genotypeBackground,individualCommonGenotype,modelSystemName,officialName
TMF20587,13134,,,,UCI_TMF,UCI_TMF,male,Mouse,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
TMF20588,13133,,,,UCI_TMF,UCI_TMF,male,Mouse,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20589,13132,,,,UCI_TMF,UCI_TMF,male,Mouse,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
TMF20590,13131,,,,UCI_TMF,UCI_TMF,male,Mouse,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
TMF20591,13135,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
TMF20592,13136,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
TMF20593,13137,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20594,13138,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/10/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
TMF20682,13155,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/12/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20723,13147,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20724,13148,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
TMF20725,13149,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
TMF20726,13150,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20728,13151,,,,UCI_TMF,UCI_TMF,male,Mouse,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20729,13160,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20736,13158,,,,UCI_TMF,UCI_TMF,female,Mouse,N1,8/16/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20738,13161,,,,UCI_TMF,UCI_TMF,male,Mouse,N1,8/18/20,4,months,,,7% standard,,,,,,34848,5XFAD_noncarrier,C57BL6J,C57BL6J,C57BL6J,
TMF20776,,,,,UCI_TMF,UCI_TMF,,Mouse,,,4,months,,,7% standard,,,,,,34848,5XFAD_carrier,C57BL6J,5XFAD,5XFAD,
9379,10919,,B-435-20,241888,UCI_TMF,UCI_TMF,female,Mouse,F3,5/26/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
9380,10920,,B-435-20,241888,UCI_TMF,UCI_TMF,female,Mouse,F3,5/26/20,12,months,,,7% standard,,,,,,,Trem2-R47H_NSS_homozygous,C57BL6J,Trem2-R47H_NSS,,
9383,10923,,B-435-20,241888,UCI_TMF,UCI_TMF,female,Mouse,F3,5/26/20,12,months,,,7% standard,,,,,,,"5XFAD_carrier, Trem2-R47H_NSS_homozygous",C57BL6J,5XFADTrem2-R47H_NSS,,
